ioc,signature,total_hits
206[.]1[.]21[.]1,None,3570
2[.]57[.]122[.]238,None,406
45[.]148[.]10[.]141,putty,351
45[.]148[.]10[.]183,None,325
45[.]148[.]10[.]151,putty,253
45[.]227[.]254[.]170,putty,190
45[.]148[.]10[.]157,putty,171
2[.]57[.]122[.]188,putty,171
92[.]118[.]39[.]195,putty,171
2[.]57[.]122[.]197,putty,153
195[.]178[.]110[.]15,putty,153
2[.]57[.]122[.]193,putty,153
92[.]118[.]39[.]235,putty,136
92[.]118[.]39[.]197,putty,136
2[.]57[.]122[.]192,putty,136
2[.]57[.]122[.]189,putty,120
153[.]99[.]94[.]170,None,120
138[.]2[.]232[.]2,paramiko,105
157[.]151[.]175[.]225,paramiko,105
129[.]153[.]145[.]135,paramiko,105
2[.]57[.]122[.]199,putty,105
92[.]118[.]39[.]196,putty,91
2[.]57[.]122[.]196,putty,91
45[.]148[.]10[.]147,putty,91
2[.]57[.]122[.]190,putty,91
92[.]118[.]39[.]236,putty,91
2[.]57[.]122[.]194,putty,78
45[.]148[.]10[.]152,putty,78
2[.]57[.]122[.]195,putty,78
2[.]57[.]122[.]191,putty,78
141[.]148[.]175[.]56,paramiko,55
165[.]22[.]101[.]46,paramiko,45
211[.]215[.]17[.]214,None,45
5[.]223[.]71[.]106,paramiko,36
92[.]118[.]39[.]56,None,36
206[.]189[.]128[.]105,paramiko,28
45[.]148[.]10[.]121,None,21
45[.]142[.]154[.]35,None,10
139[.]162[.]8[.]186,nmap,7
172[.]105[.]128[.]13,None,6
91[.]230[.]168[.]140,None,6
59[.]103[.]37[.]61,paramiko,6
152[.]32[.]134[.]166,None,6
109[.]244[.]69[.]102,None,6
118[.]26[.]39[.]231,None,6
139[.]162[.]8[.]186,libssh,5
152[.]32[.]132[.]203,None,4
165[.]154[.]41[.]97,None,4
118[.]193[.]57[.]59,None,4
118[.]193[.]36[.]107,None,4
101[.]36[.]118[.]148,None,4
129[.]80[.]216[.]51,paramiko,3
91[.]230[.]168[.]250,None,3
195[.]184[.]76[.]226,None,3
91[.]230[.]168[.]171,None,3
195[.]184[.]76[.]102,None,3
91[.]230[.]168[.]45,None,3
91[.]230[.]168[.]94,None,3
91[.]230[.]168[.]175,None,3
91[.]230[.]168[.]176,None,3
91[.]230[.]168[.]132,None,3
91[.]230[.]168[.]169,None,3
195[.]184[.]76[.]143,None,3
195[.]184[.]76[.]212,None,3
91[.]230[.]168[.]68,None,3
64[.]181[.]234[.]255,paramiko,3
91[.]230[.]168[.]4,None,3
129[.]153[.]223[.]240,paramiko,3
45[.]79[.]115[.]59,None,3
137[.]131[.]51[.]94,paramiko,3
168[.]107[.]10[.]74,paramiko,3
69[.]7[.]89[.]58,libssh,3
139[.]162[.]8[.]186,None,3
80[.]94[.]92[.]168,None,3
117[.]161[.]11[.]74,None,3
183[.]136[.]170[.]167,None,3
152[.]70[.]56[.]101,paramiko,3
144[.]24[.]15[.]43,paramiko,3
106[.]75[.]175[.]213,None,3
129[.]153[.]86[.]229,paramiko,3
87[.]236[.]176[.]209,None,3
120[.]48[.]29[.]51,None,3
129[.]151[.]21[.]68,paramiko,3
222[.]88[.]163[.]204,None,3
152[.]32[.]132[.]203,libssh,2
165[.]154[.]41[.]97,libssh,2
118[.]193[.]57[.]59,libssh,2
118[.]193[.]36[.]107,libssh,2
101[.]36[.]118[.]148,libssh,2
189[.]113[.]38[.]56,libssh,1
103[.]243[.]26[.]174,libssh,1
222[.]186[.]24[.]146,None,1
91[.]230[.]168[.]155,None,1
91[.]230[.]168[.]49,None,1
91[.]230[.]168[.]48,None,1
91[.]230[.]168[.]158,None,1
91[.]230[.]168[.]89,None,1
195[.]184[.]76[.]131,None,1
195[.]184[.]76[.]120,None,1
195[.]184[.]76[.]210,None,1
91[.]230[.]168[.]13,None,1
195[.]184[.]76[.]219,None,1
195[.]184[.]76[.]126,None,1
91[.]230[.]168[.]3,None,1
195[.]184[.]76[.]140,None,1
91[.]230[.]168[.]25,None,1
195[.]184[.]76[.]235,None,1
195[.]184[.]76[.]203,None,1
45[.]78[.]204[.]254,libssh,1
118[.]196[.]34[.]237,libssh,1
179[.]101[.]200[.]54,libssh,1
43[.]160[.]255[.]12,libssh,1
119[.]205[.]179[.]217,libssh,1
66[.]132[.]186[.]181,None,1
195[.]184[.]76[.]32,None,1
14[.]103[.]114[.]17,None,1
14[.]103[.]127[.]204,None,1
91[.]230[.]168[.]210,None,1
203[.]2[.]164[.]205,None,1
94[.]143[.]141[.]37,libssh,1
101[.]126[.]157[.]138,libssh,1
34[.]81[.]72[.]185,libssh,1
91[.]230[.]168[.]214,None,1
36[.]103[.]222[.]120,libssh,1
120[.]48[.]60[.]44,None,1
195[.]184[.]76[.]14,None,1
120[.]48[.]123[.]76,libssh,1
195[.]184[.]76[.]231,None,1
91[.]230[.]168[.]57,None,1
195[.]184[.]76[.]125,None,1
45[.]33[.]109[.]18,None,1
91[.]230[.]168[.]129,None,1
195[.]184[.]76[.]177,None,1
91[.]230[.]168[.]24,None,1
173[.]15[.]167[.]130,None,1
195[.]184[.]76[.]91,None,1
114[.]220[.]75[.]156,libssh,1
91[.]230[.]168[.]80,None,1
195[.]184[.]76[.]34,None,1
195[.]184[.]76[.]88,None,1
91[.]230[.]168[.]35,None,1
91[.]230[.]168[.]20,None,1
195[.]184[.]76[.]94,None,1
195[.]184[.]76[.]162,None,1
195[.]184[.]76[.]137,None,1
91[.]230[.]168[.]64,None,1
91[.]230[.]168[.]139,None,1
91[.]230[.]168[.]208,None,1
195[.]184[.]76[.]52,None,1
91[.]230[.]168[.]23,None,1
91[.]230[.]168[.]178,None,1
195[.]184[.]76[.]136,None,1
195[.]184[.]76[.]70,None,1
91[.]230[.]168[.]58,None,1
91[.]230[.]168[.]16,None,1
195[.]184[.]76[.]160,None,1
91[.]230[.]168[.]145,None,1
91[.]230[.]168[.]6,None,1
91[.]230[.]168[.]190,None,1
91[.]230[.]168[.]167,None,1
195[.]184[.]76[.]58,None,1
195[.]184[.]76[.]104,None,1
195[.]184[.]76[.]16,None,1
91[.]230[.]168[.]147,None,1
91[.]230[.]168[.]7,None,1
91[.]230[.]168[.]126,None,1
91[.]230[.]168[.]18,None,1
91[.]230[.]168[.]10,None,1
91[.]230[.]168[.]95,None,1
