ioc,signature,total_hits
206[.]1[.]21[.]1,None,5671
80[.]94[.]92[.]182,None,2163
80[.]94[.]92[.]186,None,1326
45[.]148[.]10[.]141,putty,351
45[.]148[.]10[.]151,putty,351
2[.]57[.]122[.]199,putty,276
2[.]57[.]122[.]191,putty,276
45[.]148[.]10[.]152,putty,276
2[.]57[.]122[.]190,putty,253
2[.]57[.]122[.]189,putty,253
45[.]148[.]10[.]157,putty,231
92[.]118[.]39[.]197,putty,231
129[.]153[.]145[.]135,paramiko,210
157[.]151[.]175[.]225,paramiko,210
45[.]148[.]10[.]147,putty,210
77[.]22[.]70[.]198,None,210
2[.]57[.]122[.]188,putty,190
2[.]57[.]122[.]193,putty,190
2[.]57[.]122[.]197,putty,153
195[.]178[.]110[.]15,putty,153
45[.]227[.]254[.]170,putty,153
2[.]57[.]122[.]195,putty,153
92[.]118[.]39[.]195,putty,153
92[.]118[.]39[.]236,putty,153
138[.]2[.]232[.]2,paramiko,136
2[.]57[.]122[.]196,putty,136
2[.]57[.]122[.]192,putty,136
141[.]148[.]175[.]56,paramiko,136
2[.]57[.]122[.]194,putty,120
92[.]118[.]39[.]196,putty,120
92[.]118[.]39[.]235,putty,105
211[.]215[.]17[.]214,None,91
80[.]94[.]92[.]182,libssh,48
219[.]153[.]106[.]29,None,40
140[.]245[.]119[.]31,paramiko,36
92[.]118[.]39[.]56,None,36
219[.]153[.]106[.]29,libssh,26
3[.]131[.]220[.]121,None,21
45[.]148[.]10[.]121,None,21
45[.]148[.]145[.]60,None,15
131[.]186[.]50[.]157,None,15
129[.]153[.]86[.]229,paramiko,10
80[.]94[.]92[.]168,None,10
152[.]32[.]145[.]49,None,10
91[.]224[.]92[.]177,None,8
93[.]174[.]95[.]106,paramiko,4
165[.]154[.]41[.]213,None,4
118[.]26[.]104[.]179,None,4
77[.]90[.]185[.]16,None,3
152[.]70[.]236[.]58,paramiko,3
101[.]96[.]208[.]223,None,3
165[.]154[.]225[.]20,None,3
94[.]102[.]49[.]155,None,3
129[.]150[.]42[.]47,paramiko,3
153[.]35[.]171[.]225,None,3
66[.]228[.]53[.]204,None,3
60[.]219[.]113[.]54,None,3
152[.]70[.]82[.]68,paramiko,3
182[.]45[.]145[.]10,None,3
116[.]205[.]118[.]229,None,3
165[.]1[.]75[.]106,paramiko,3
150[.]136[.]162[.]43,paramiko,3
20[.]163[.]60[.]206,None,3
183[.]136[.]170[.]167,None,3
40[.]119[.]43[.]103,None,3
42[.]178[.]17[.]143,None,3
221[.]228[.]10[.]226,None,3
117[.]177[.]179[.]43,None,3
113[.]47[.]8[.]42,libssh,2
93[.]174[.]95[.]106,None,2
165[.]154[.]41[.]213,libssh,2
211[.]101[.]247[.]105,libssh,2
91[.]224[.]92[.]177,libssh,2
118[.]26[.]104[.]179,libssh,2
182[.]253[.]50[.]142,putty,1
66[.]240[.]236[.]116,None,1
185[.]242[.]226[.]17,None,1
45[.]79[.]207[.]129,None,1
198[.]235[.]24[.]185,None,1
120[.]48[.]151[.]153,libssh,1
170[.]80[.]65[.]140,libssh,1
14[.]103[.]120[.]70,libssh,1
52[.]255[.]183[.]238,libssh,1
45[.]43[.]37[.]254,libssh,1
50[.]116[.]26[.]161,None,1
144[.]31[.]81[.]21,libssh,1
176[.]65[.]132[.]254,None,1
45[.]192[.]184[.]50,None,1
95[.]90[.]13[.]168,libssh,1
54[.]236[.]18[.]154,None,1
85[.]217[.]140[.]41,None,1
101[.]71[.]211[.]244,None,1
218[.]58[.]15[.]214,None,1
106[.]117[.]117[.]119,None,1
183[.]185[.]109[.]69,None,1
85[.]217[.]149[.]59,None,1
205[.]210[.]31[.]5,None,1
189[.]203[.]163[.]10,libssh,1
27[.]111[.]32[.]174,libssh,1
118[.]139[.]164[.]171,libssh,1
175[.]12[.]108[.]55,libssh,1
14[.]103[.]91[.]55,None,1
113[.]47[.]8[.]42,None,1
66[.]132[.]172[.]195,None,1
