ioc,signature,total_hits
206[.]1[.]21[.]1,None,2346
80[.]94[.]92[.]186,None,1326
171[.]243[.]150[.]164,None,595
27[.]79[.]45[.]122,None,465
92[.]118[.]39[.]197,putty,190
45[.]148[.]10[.]157,putty,190
92[.]118[.]39[.]236,putty,171
195[.]178[.]110[.]15,putty,171
45[.]148[.]10[.]151,putty,153
2[.]57[.]122[.]193,putty,153
2[.]57[.]122[.]189,putty,153
45[.]227[.]254[.]170,putty,153
92[.]118[.]39[.]235,putty,120
2[.]57[.]122[.]194,putty,120
2[.]57[.]122[.]197,putty,105
2[.]57[.]122[.]195,putty,105
2[.]57[.]122[.]238,None,105
2[.]57[.]122[.]191,putty,91
45[.]148[.]10[.]152,putty,91
138[.]2[.]232[.]2,paramiko,78
92[.]118[.]39[.]195,putty,78
157[.]151[.]175[.]225,paramiko,78
2[.]57[.]122[.]199,putty,66
2[.]57[.]122[.]188,putty,66
45[.]148[.]10[.]183,None,55
141[.]148[.]175[.]56,paramiko,55
45[.]148[.]10[.]147,putty,55
2[.]57[.]122[.]190,putty,45
45[.]148[.]10[.]141,putty,45
2[.]57[.]122[.]196,putty,36
80[.]94[.]92[.]168,None,36
165[.]22[.]101[.]46,paramiko,28
129[.]153[.]145[.]135,paramiko,28
211[.]215[.]17[.]214,None,28
92[.]118[.]39[.]196,putty,28
5[.]223[.]71[.]106,paramiko,21
2[.]57[.]122[.]192,putty,21
193[.]32[.]162[.]28,None,15
206[.]189[.]128[.]105,paramiko,15
152[.]32[.]133[.]192,None,15
45[.]39[.]12[.]34,libssh,6
118[.]193[.]37[.]79,None,6
165[.]154[.]6[.]224,None,4
165[.]154[.]206[.]222,None,4
101[.]36[.]108[.]175,None,4
165[.]154[.]135[.]161,None,4
165[.]154[.]41[.]13,None,4
141[.]148[.]42[.]109,paramiko,3
36[.]64[.]174[.]98,libssh,3
206[.]189[.]157[.]111,None,3
158[.]101[.]114[.]255,paramiko,3
123[.]117[.]154[.]188,None,3
164[.]90[.]166[.]126,None,3
221[.]2[.]170[.]249,None,3
172[.]105[.]128[.]11,None,3
165[.]154[.]6[.]224,libssh,2
165[.]154[.]206[.]222,libssh,2
101[.]36[.]108[.]175,libssh,2
165[.]154[.]135[.]161,libssh,2
165[.]154[.]41[.]13,libssh,2
198[.]235[.]24[.]108,None,1
193[.]32[.]162[.]82,None,1
119[.]205[.]179[.]217,libssh,1
103[.]76[.]120[.]225,libssh,1
165[.]22[.]99[.]20,libssh,1
103[.]203[.]57[.]2,None,1
120[.]48[.]111[.]113,None,1
103[.]186[.]1[.]59,libssh,1
65[.]49[.]1[.]162,None,1
223[.]83[.]114[.]88,libssh,1
14[.]103[.]78[.]102,None,1
14[.]18[.]122[.]240,None,1
45[.]79[.]207[.]111,None,1
41[.]111[.]215[.]65,None,1
180[.]76[.]225[.]175,None,1
223[.]233[.]80[.]172,libssh,1
81[.]211[.]72[.]167,libssh,1
209[.]141[.]47[.]217,libssh,1
8[.]245[.]17[.]190,libssh,1
45[.]79[.]115[.]134,None,1
180[.]75[.]123[.]50,libssh,1
115[.]231[.]78[.]11,None,1
138[.]36[.]215[.]108,None,1
205[.]210[.]31[.]204,None,1
41[.]41[.]185[.]46,None,1
80[.]102[.]218[.]187,libssh,1
185[.]213[.]175[.]140,libssh,1
166[.]1[.]60[.]230,libssh,1
103[.]146[.]23[.]145,libssh,1
103[.]195[.]239[.]8,libssh,1
77[.]105[.]132[.]10,libssh,1
106[.]75[.]222[.]164,libssh,1
103[.]245[.]39[.]181,libssh,1
5[.]187[.]35[.]142,None,1
205[.]210[.]31[.]253,None,1
103[.]183[.]13[.]42,None,1
85[.]67[.]126[.]68,None,1
101[.]200[.]236[.]207,None,1
205[.]210[.]31[.]150,None,1
183[.]56[.]235[.]140,libssh,1
185[.]226[.]89[.]235,libssh,1
106[.]58[.]220[.]34,libssh,1
222[.]98[.]122[.]37,libssh,1
205[.]210[.]31[.]9,None,1
